Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,Albi,23,28,Aviron Bayonnais,1,0
1,USA Perpignan,36,28,US Dax,0,0
1,LOU Rugby,30,19,Bourgoin,0,0
1,AS Béziers Hérault,36,23,Stade Montois Rugby,0,0
1,Narbonne,36,18,Provence Rugby,0,0
1,Tarbes,22,23,US Carcassonnaise,1,0
1,Colomiers Rugby,25,20,US Montalbanaise,0,1
1,Biarritz Olympique PB,25,28,Stade Aurillacois,1,0
2,Stade Montois Rugby,18,22,LOU Rugby,1,0
2,US Dax,15,20,Tarbes,1,0
2,US Montalbanaise,20,9,Biarritz Olympique PB,0,0
2,Bourgoin,19,22,Albi,1,0
2,Provence Rugby,17,31,AS Béziers Hérault,0,0
2,Stade Aurillacois,40,10,Colomiers Rugby,1,0
2,US Carcassonnaise,9,38,USA Perpignan,0,0
2,Aviron Bayonnais,28,21,Narbonne,0,0
3,AS Béziers Hérault,23,28,LOU Rugby,1,0
3,USA Perpignan,14,9,Stade Montois Rugby,0,1
3,Biarritz Olympique PB,9,20,Albi,0,0
3,Narbonne,18,13,Bourgoin,0,1
3,Tarbes,28,10,Provence Rugby,0,0
3,US Montalbanaise,5,31,Stade Aurillacois,0,1
3,Colomiers Rugby,31,9,US Carcassonnaise,1,0
3,US Dax,31,28,Aviron Bayonnais,0,1
4,Albi,23,19,USA Perpignan,0,1
4,Provence Rugby,22,11,Biarritz Olympique PB,0,0
4,AS Béziers Hérault,18,13,Narbonne,0,1
4,LOU Rugby,44,14,US Montalbanaise,1,0
4,Stade Aurillacois,39,14,Tarbes,1,0
4,Stade Montois Rugby,33,20,Colomiers Rugby,0,0
4,US Carcassonnaise,30,20,US Dax,0,0
4,Aviron Bayonnais,36,14,Bourgoin,1,0
5,Biarritz Olympique PB,16,19,LOU Rugby,1,0
5,Bourgoin,16,20,USA Perpignan,1,0
5,Narbonne,32,30,Stade Aurillacois,0,1
5,Tarbes,19,10,AS Béziers Hérault,0,0
5,US Montalbanaise,16,14,Stade Montois Rugby,0,1
5,US Carcassonnaise,22,32,Aviron Bayonnais,0,0
5,US Dax,26,19,Provence Rugby,0,0
5,Colomiers Rugby,26,16,Albi,0,0
