Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,Aviron Bayonnais,37,16,SU Agen,1,0
1,AS Béziers Hérault,22,19,Stade Aurillacois,0,1
1,Colomiers Rugby,34,19,Provence Rugby,0,0
1,Narbonne,14,37,Stade Montois Rugby,0,0
1,Bourg-en-Bresse,20,24,US Montalbanaise,1,0
1,US Carcassonnaise,30,14,Rouen Normandie Rugby,0,0
1,USON Nevers,20,16,RC Vannes,0,1
1,FC Grenoble Rugby,14,22,Oyonnax Rugby,0,0
2,Oyonnax Rugby,21,23,Colomiers Rugby,1,0
2,Provence Rugby,26,23,USON Nevers,0,1
2,Rouen Normandie Rugby,57,16,Narbonne,1,0
2,Stade Aurillacois,20,28,Aviron Bayonnais,0,0
2,Stade Montois Rugby,48,13,Bourg-en-Bresse,1,0
2,SU Agen,9,12,AS Béziers Hérault,1,0
2,US Montalbanaise,25,16,US Carcassonnaise,0,0
2,RC Vannes,33,38,FC Grenoble Rugby,1,0
3,FC Grenoble Rugby,17,13,SU Agen,0,1
3,AS Béziers Hérault,24,25,Provence Rugby,1,0
3,Colomiers Rugby,27,0,Stade Aurillacois,1,0
3,Narbonne,9,11,US Montalbanaise,1,0
3,Bourg-en-Bresse,20,20,Rouen Normandie Rugby,0,0
3,US Carcassonnaise,22,26,Stade Montois Rugby,1,0
3,USON Nevers,21,18,Oyonnax Rugby,0,1
3,RC Vannes,18,26,Aviron Bayonnais,0,0
4,Stade Aurillacois,21,16,FC Grenoble Rugby,0,1
4,Oyonnax Rugby,23,6,US Carcassonnaise,0,0
4,Provence Rugby,15,18,Narbonne,1,0
4,Rouen Normandie Rugby,19,24,Colomiers Rugby,1,0
4,Stade Montois Rugby,46,5,RC Vannes,1,0
4,SU Agen,24,28,Bourg-en-Bresse,1,0
4,US Montalbanaise,37,11,AS Béziers Hérault,1,0
4,Aviron Bayonnais,23,23,USON Nevers,0,0
5,RC Vannes,6,23,Oyonnax Rugby,0,0
5,AS Béziers Hérault,25,7,USON Nevers,0,0
5,Colomiers Rugby,41,14,US Montalbanaise,1,0
5,Provence Rugby,21,22,Rouen Normandie Rugby,1,0
5,Narbonne,26,30,Stade Aurillacois,1,0
5,Stade Montois Rugby,43,8,SU Agen,1,0
5,Bourg-en-Bresse,22,26,US Carcassonnaise,1,0
5,FC Grenoble Rugby,13,18,Aviron Bayonnais,1,0
6,Rouen Normandie Rugby,16,21,FC Grenoble Rugby,1,0
6,Oyonnax Rugby,36,19,Stade Montois Rugby,1,0
6,Stade Aurillacois,26,12,Bourg-en-Bresse,0,0
6,SU Agen,15,17,Narbonne,1,0
6,US Carcassonnaise,28,30,Provence Rugby,1,0
6,US Montalbanaise,25,19,RC Vannes,0,0
6,USON Nevers,19,17,Colomiers Rugby,0,1
6,Aviron Bayonnais,20,16,AS Béziers Hérault,0,1
7,Colomiers Rugby,27,26,Aviron Bayonnais,0,1
7,Oyonnax Rugby,56,6,US Montalbanaise,1,0
7,Provence Rugby,23,17,Bourg-en-Bresse,0,0
7,Narbonne,30,33,USON Nevers,1,0
7,RC Vannes,46,3,SU Agen,1,0
7,Stade Aurillacois,30,23,US Carcassonnaise,0,0
7,Stade Montois Rugby,45,8,Rouen Normandie Rugby,1,0
7,FC Grenoble Rugby,19,21,AS Béziers Hérault,1,0
8,US Montalbanaise,21,18,Stade Montois Rugby,0,1
8,AS Béziers Hérault,16,15,Colomiers Rugby,0,1
8,Aviron Bayonnais,47,19,Provence Rugby,1,0
8,Rouen Normandie Rugby,25,16,Oyonnax Rugby,0,0
8,SU Agen,25,21,Stade Aurillacois,0,1
8,Bourg-en-Bresse,36,33,Narbonne,0,1
8,US Carcassonnaise,14,14,RC Vannes,0,0
8,USON Nevers,21,21,FC Grenoble Rugby,0,0
9,Stade Montois Rugby,41,20,USON Nevers,1,0
9,Oyonnax Rugby,42,12,AS Béziers Hérault,1,0
9,Narbonne,9,35,Aviron Bayonnais,0,1
9,RC Vannes,20,13,Bourg-en-Bresse,0,0
9,Stade Aurillacois,20,12,Provence Rugby,0,0
9,US Carcassonnaise,15,11,SU Agen,0,1
9,US Montalbanaise,37,22,Rouen Normandie Rugby,1,0
9,FC Grenoble Rugby,15,22,Colomiers Rugby,0,0
10,SU Agen,41,17,US Montalbanaise,1,0
10,Aviron Bayonnais,14,33,Stade Montois Rugby,0,0
10,AS Béziers Hérault,34,18,Narbonne,0,0
10,Colomiers Rugby,16,17,US Carcassonnaise,1,0
10,Provence Rugby,19,13,FC Grenoble Rugby,0,0
10,Rouen Normandie Rugby,19,10,RC Vannes,0,0
10,Bourg-en-Bresse,8,49,Oyonnax Rugby,0,1
10,USON Nevers,37,3,Stade Aurillacois,1,0
11,Oyonnax Rugby,30,21,Aviron Bayonnais,0,0
11,RC Vannes,25,22,Provence Rugby,0,1
11,Rouen Normandie Rugby,27,23,SU Agen,0,1
11,Stade Montois Rugby,38,10,Stade Aurillacois,1,0
11,Bourg-en-Bresse,30,22,AS Béziers Hérault,0,0
