Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,Stade Rochelais,30,12,Oyonnax Rugby,0,0
1,AS Béziers Hérault,15,15,Section Paloise,0,0
1,FC Grenoble Rugby,31,6,Colomiers Rugby,1,0
1,LOU Rugby,18,9,Racing 92,0,0
1,Narbonne,6,6,Tarbes,0,0
1,Stade Aurillacois,11,6,Albi,0,1
1,Bourg-en-Bresse,18,25,Union Bordeaux-Bègles,0,0
1,SU Agen,30,16,Auch,0,0
2,Auch,21,16,Narbonne,0,1
2,Section Paloise,27,15,SU Agen,0,0
2,Albi,26,19,FC Grenoble Rugby,0,0
2,Tarbes,15,16,Stade Aurillacois,1,0
2,Colomiers Rugby,20,6,LOU Rugby,0,0
2,Racing 92,12,9,Stade Rochelais,0,1
2,Oyonnax Rugby,38,8,Bourg-en-Bresse,1,0
2,Union Bordeaux-Bègles,24,12,AS Béziers Hérault,0,0
3,Stade Rochelais,15,12,Auch,0,1
3,LOU Rugby,56,3,Tarbes,1,0
3,Narbonne,16,25,Racing 92,0,0
3,SU Agen,26,19,Oyonnax Rugby,0,0
3,Stade Aurillacois,49,19,Union Bordeaux-Bègles,1,0
3,FC Grenoble Rugby,22,9,Section Paloise,0,0
3,Bourg-en-Bresse,12,18,Albi,0,0
3,Colomiers Rugby,38,17,AS Béziers Hérault,1,0
4,Auch,24,6,Bourg-en-Bresse,0,0
4,Oyonnax Rugby,22,15,LOU Rugby,0,0
4,Racing 92,35,16,Stade Aurillacois,1,0
4,Union Bordeaux-Bègles,22,23,Stade Rochelais,1,0
4,Section Paloise,30,23,Colomiers Rugby,0,0
4,Albi,28,22,Narbonne,0,0
4,Tarbes,34,24,SU Agen,0,0
4,AS Béziers Hérault,16,25,FC Grenoble Rugby,0,0
5,AS Béziers Hérault,22,19,Auch,0,1
5,FC Grenoble Rugby,10,16,Racing 92,0,0
5,LOU Rugby,15,22,Albi,0,1
5,SU Agen,14,17,Union Bordeaux-Bègles,1,0
5,Stade Aurillacois,30,26,Oyonnax Rugby,0,1
5,Colomiers Rugby,15,15,Narbonne,0,0
5,Bourg-en-Bresse,22,16,Tarbes,0,0
5,Stade Rochelais,18,14,Section Paloise,0,1
6,Auch,15,9,FC Grenoble Rugby,0,0
6,Oyonnax Rugby,16,3,Section Paloise,0,0
6,Racing 92,37,9,AS Béziers Hérault,1,0
6,Narbonne,26,17,Union Bordeaux-Bègles,0,0
6,Albi,29,22,Stade Rochelais,0,0
6,SU Agen,62,9,Bourg-en-Bresse,1,0
6,Tarbes,25,10,Colomiers Rugby,0,0
6,LOU Rugby,19,13,Stade Aurillacois,0,0
7,Stade Rochelais,23,18,LOU Rugby,1,1
7,AS Béziers Hérault,9,30,Oyonnax Rugby,0,1
7,FC Grenoble Rugby,23,19,Tarbes,0,1
7,Narbonne,25,22,SU Agen,0,1
7,Section Paloise,16,15,Racing 92,0,1
7,Bourg-en-Bresse,11,20,Stade Aurillacois,0,0
7,Colomiers Rugby,24,15,Auch,0,0
7,Union Bordeaux-Bègles,19,6,Albi,0,0
8,Stade Rochelais,56,18,Bourg-en-Bresse,1,0
8,Auch,17,12,Section Paloise,0,1
8,LOU Rugby,12,10,AS Béziers Hérault,0,1
8,Oyonnax Rugby,16,16,Albi,0,0
8,SU Agen,18,12,FC Grenoble Rugby,0,0
8,Stade Aurillacois,31,9,Narbonne,1,0
8,Tarbes,31,15,Union Bordeaux-Bègles,0,0
8,Racing 92,9,8,Colomiers Rugby,0,1
9,FC Grenoble Rugby,21,20,LOU Rugby,0,1
9,Oyonnax Rugby,25,9,Auch,0,0
9,Narbonne,22,21,Bourg-en-Bresse,0,1
9,Union Bordeaux-Bègles,14,18,Section Paloise,1,0
9,Albi,30,20,Colomiers Rugby,0,0
9,Stade Aurillacois,25,19,Stade Rochelais,0,0
9,Tarbes,16,23,Racing 92,0,0
9,AS Béziers Hérault,21,16,SU Agen,0,1
10,Auch,15,5,Union Bordeaux-Bègles,0,0
10,Racing 92,31,20,Oyonnax Rugby,0,0
10,Section Paloise,21,16,LOU Rugby,0,1
10,Albi,18,12,Tarbes,0,0
10,SU Agen,19,16,Stade Rochelais,0,1
10,Colomiers Rugby,15,30,Stade Aurillacois,0,1
10,Bourg-en-Bresse,9,3,AS Béziers Hérault,0,0
10,Narbonne,6,3,FC Grenoble Rugby,0,1
11,Stade Rochelais,33,9,AS Béziers Hérault,1,0
11,LOU Rugby,14,13,Narbonne,0,1
11,Union Bordeaux-Bègles,15,9,Oyonnax Rugby,0,0
11,Section Paloise,35,3,Bourg-en-Bresse,1,0
11,SU Agen,36,17,Colomiers Rugby,0,0
11,Stade Aurillacois,29,22,FC Grenoble Rugby,0,0
11,Tarbes,26,12,Auch,0,0
11,Racing 92,22,9,Albi,0,0
12,AS Béziers Hérault,25,16,Stade Aurillacois,0,0
12,FC Grenoble Rugby,12,12,Bourg-en-Bresse,0,0
12,LOU Rugby,12,13,SU Agen,1,0
12,Oyonnax Rugby,12,6,Tarbes,0,0
12,Narbonne,33,16,Stade Rochelais,0,0
12,Union Bordeaux-Bègles,33,12,Colomiers Rugby,0,0
12,Albi,16,13,Section Paloise,0,1
12,Auch,22,18,Racing 92,0,1
13,Racing 92,22,6,Union Bordeaux-Bègles,1,0
13,Section Paloise,33,3,Narbonne,1,0
13,Albi,20,14,Auch,0,0
13,Stade Aurillacois,16,20,SU Agen,1,0
13,Tarbes,23,10,AS Béziers Hérault,0,0
13,Colomiers Rugby,24,16,Oyonnax Rugby,0,0
13,FC Grenoble Rugby,14,6,Stade Rochelais,0,0
13,Bourg-en-Bresse,18,23,LOU Rugby,1,0
14,Stade Rochelais,32,9,Colomiers Rugby,1,0
14,Auch,11,9,Stade Aurillacois,0,1
