Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,Biarritz Olympique PB,18,14,Oyonnax Rugby,0,1
1,Colomiers Rugby,24,6,US Carcassonnaise,0,0
1,FC Grenoble Rugby,19,15,AS Béziers Hérault,0,1
1,RC Massy Essonne,26,40,Rouen Normandie Rugby,0,0
1,Soyaux-Angoulême XV,31,30,RC Vannes,0,1
1,Stade Montois Rugby,40,18,Stade Aurillacois,1,0
1,US Montalbanaise,29,20,USON Nevers,0,0
1,Provence Rugby,17,19,SU Agen,1,0
2,AS Béziers Hérault,26,24,Stade Montois Rugby,0,1
2,Oyonnax Rugby,33,5,RC Massy Essonne,1,0
2,RC Vannes,34,26,Biarritz Olympique PB,0,0
2,Rouen Normandie Rugby,22,15,Colomiers Rugby,0,0
2,Stade Aurillacois,22,13,Provence Rugby,0,0
2,US Carcassonnaise,21,10,US Montalbanaise,0,0
2,USON Nevers,20,18,Soyaux-Angoulême XV,0,1
2,SU Agen,11,16,FC Grenoble Rugby,1,0
3,Oyonnax Rugby,46,13,FC Grenoble Rugby,1,0
3,Colomiers Rugby,17,16,Provence Rugby,0,1
3,RC Massy Essonne,15,16,USON Nevers,1,0
3,Rouen Normandie Rugby,21,16,RC Vannes,0,1
3,Soyaux-Angoulême XV,15,19,Stade Aurillacois,1,0
3,US Carcassonnaise,26,24,AS Béziers Hérault,0,1
3,US Montalbanaise,26,25,SU Agen,0,1
3,Biarritz Olympique PB,27,29,Stade Montois Rugby,1,0
4,USON Nevers,22,22,Biarritz Olympique PB,0,0
4,RC Vannes,34,21,US Carcassonnaise,0,0
4,AS Béziers Hérault,43,33,US Montalbanaise,0,0
4,FC Grenoble Rugby,20,6,Rouen Normandie Rugby,1,0
4,Provence Rugby,35,15,Soyaux-Angoulême XV,1,0
4,Stade Aurillacois,36,29,RC Massy Essonne,0,0
4,SU Agen,21,22,Colomiers Rugby,1,0
4,Stade Montois Rugby,26,15,Oyonnax Rugby,0,0
5,Colomiers Rugby,27,30,RC Vannes,1,0
5,Biarritz Olympique PB,32,23,US Carcassonnaise,0,0
5,FC Grenoble Rugby,17,9,Stade Aurillacois,0,0
5,Oyonnax Rugby,23,6,USON Nevers,0,0
5,RC Massy Essonne,23,21,Provence Rugby,0,1
5,Soyaux-Angoulême XV,19,10,AS Béziers Hérault,0,0
5,US Montalbanaise,43,19,Stade Montois Rugby,1,0
5,Rouen Normandie Rugby,13,16,SU Agen,1,0
6,US Montalbanaise,32,46,Biarritz Olympique PB,0,0
6,AS Béziers Hérault,17,20,Colomiers Rugby,1,0
6,RC Vannes,26,10,FC Grenoble Rugby,0,0
6,Stade Montois Rugby,34,26,Soyaux-Angoulême XV,0,0
6,SU Agen,43,20,Stade Aurillacois,1,0
6,US Carcassonnaise,17,20,RC Massy Essonne,1,0
6,USON Nevers,27,17,Rouen Normandie Rugby,0,0
6,Provence Rugby,19,19,Oyonnax Rugby,0,0
7,Rouen Normandie Rugby,28,23,Stade Montois Rugby,0,1
7,Oyonnax Rugby,56,7,RC Vannes,1,0
7,Colomiers Rugby,21,19,USON Nevers,0,1
7,FC Grenoble Rugby,13,26,Provence Rugby,0,0
7,RC Massy Essonne,10,16,AS Béziers Hérault,0,0
7,Soyaux-Angoulême XV,18,6,US Carcassonnaise,0,0
7,Stade Aurillacois,28,6,US Montalbanaise,1,0
7,Biarritz Olympique PB,15,18,SU Agen,1,0
8,Stade Montois Rugby,11,33,SU Agen,0,1
8,AS Béziers Hérault,22,28,Oyonnax Rugby,0,0
8,RC Vannes,36,3,RC Massy Essonne,1,0
8,Soyaux-Angoulême XV,22,26,Rouen Normandie Rugby,1,0
8,US Carcassonnaise,27,9,Stade Aurillacois,1,0
8,US Montalbanaise,33,34,FC Grenoble Rugby,1,0
8,USON Nevers,26,9,Provence Rugby,0,0
8,Biarritz Olympique PB,48,31,Colomiers Rugby,1,0
9,FC Grenoble Rugby,19,18,USON Nevers,0,1
9,Rouen Normandie Rugby,12,9,Biarritz Olympique PB,0,1
