Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,AS Béziers Hérault,31,27,SU Agen,0,1
1,Bourgoin,23,32,Albi,0,0
1,Narbonne,12,20,Stade Montois Rugby,0,0
1,RC Massy Essonne,12,14,Section Paloise,1,0
1,Tarbes,28,22,US Dax,0,0
1,US Montalbanaise,30,13,US Carcassonnaise,1,0
1,USA Perpignan,22,9,Colomiers Rugby,0,0
1,Biarritz Olympique PB,16,15,Stade Aurillacois,0,1
2,SU Agen,33,36,Bourgoin,1,0
2,AS Béziers Hérault,41,17,Tarbes,0,0
2,Section Paloise,41,3,Stade Aurillacois,1,0
2,Stade Montois Rugby,24,26,Colomiers Rugby,1,0
2,US Carcassonnaise,15,13,Narbonne,0,1
2,US Dax,17,12,US Montalbanaise,0,1
2,USA Perpignan,42,21,RC Massy Essonne,0,0
2,Albi,34,16,Biarritz Olympique PB,1,0
3,US Dax,20,26,Bourgoin,0,0
3,RC Massy Essonne,16,19,Albi,1,0
3,Stade Aurillacois,25,9,US Montalbanaise,1,0
3,Colomiers Rugby,20,17,US Carcassonnaise,0,1
3,Tarbes,16,15,USA Perpignan,0,1
3,Biarritz Olympique PB,24,20,Stade Montois Rugby,0,1
3,Narbonne,25,15,AS Béziers Hérault,0,0
3,Section Paloise,26,21,SU Agen,1,1
4,AS Béziers Hérault,22,23,Section Paloise,1,0
4,Bourgoin,23,23,Stade Aurillacois,0,0
4,Albi,24,20,US Dax,0,1
4,Stade Montois Rugby,25,22,RC Massy Essonne,0,1
4,Tarbes,44,30,Colomiers Rugby,0,0
4,US Carcassonnaise,25,18,Biarritz Olympique PB,0,0
4,US Montalbanaise,24,19,USA Perpignan,0,1
4,SU Agen,43,8,Narbonne,1,0
5,Narbonne,38,22,Albi,0,0
5,RC Massy Essonne,27,25,Bourgoin,0,1
5,Section Paloise,22,15,US Dax,0,0
5,Stade Aurillacois,15,10,US Carcassonnaise,0,1
5,Stade Montois Rugby,30,20,US Montalbanaise,0,0
5,Colomiers Rugby,9,12,AS Béziers Hérault,1,0
5,USA Perpignan,32,16,SU Agen,1,0
5,Biarritz Olympique PB,52,10,Tarbes,1,0
6,AS Béziers Hérault,17,9,Biarritz Olympique PB,0,0
6,RC Massy Essonne,39,25,Narbonne,0,0
6,SU Agen,29,11,Colomiers Rugby,1,0
6,US Montalbanaise,17,12,Albi,0,1
6,US Carcassonnaise,36,33,Tarbes,0,1
6,US Dax,16,3,Stade Aurillacois,0,0
6,Bourgoin,12,17,Section Paloise,1,0
6,USA Perpignan,25,21,Stade Montois Rugby,0,1
7,Narbonne,11,36,Section Paloise,0,0
7,Albi,23,27,AS Béziers Hérault,1,0
7,Stade Aurillacois,48,17,RC Massy Essonne,1,0
7,Stade Montois Rugby,22,6,Bourgoin,0,0
7,Tarbes,20,25,SU Agen,1,0
7,Biarritz Olympique PB,24,17,US Dax,0,0
7,Colomiers Rugby,27,14,US Montalbanaise,0,0
7,US Carcassonnaise,42,20,USA Perpignan,1,0
8,Narbonne,33,17,Stade Aurillacois,0,0
