Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
16,Bourg-en-Bresse,20,13,Bourgoin,0,0
16,LOU Rugby,35,10,US Carcassonnaise,1,0
16,Colomiers Rugby,20,3,US Dax,0,0
16,Stade Rochelais,32,16,Stade Montois Rugby,0,0
16,SU Agen,28,17,Albi,0,0
17,AS Béziers Hérault,22,12,Auch,1,0
17,Section Paloise,34,15,Bourg-en-Bresse,1,0
17,Albi,12,25,Stade Rochelais,0,0
17,Stade Montois Rugby,9,12,SU Agen,1,0
17,US Carcassonnaise,26,31,Tarbes,1,0
17,US Dax,30,16,Stade Aurillacois,0,0
17,Bourgoin,18,19,Colomiers Rugby,1,0
17,Narbonne,22,6,LOU Rugby,0,0
18,LOU Rugby,32,25,Albi,0,0
18,Auch,31,13,US Carcassonnaise,1,0
18,SU Agen,28,16,AS Béziers Hérault,0,0
18,Stade Aurillacois,19,6,Bourgoin,0,0
18,Tarbes,14,9,Bourg-en-Bresse,0,1
18,Narbonne,25,19,Section Paloise,0,0
18,Colomiers Rugby,18,11,Stade Montois Rugby,0,0
18,US Dax,12,9,Stade Rochelais,0,1
19,Bourgoin,12,6,SU Agen,0,0
19,Stade Rochelais,17,6,Auch,0,0
19,AS Béziers Hérault,12,10,US Dax,0,1
19,Albi,14,26,Tarbes,0,0
19,Stade Montois Rugby,15,10,Narbonne,0,1
19,US Carcassonnaise,19,12,Colomiers Rugby,0,0
19,Bourg-en-Bresse,35,12,Stade Aurillacois,0,0
19,Section Paloise,19,22,LOU Rugby,1,0
20,Stade Rochelais,28,23,Section Paloise,0,1
20,Auch,0,19,Stade Montois Rugby,0,0
20,Stade Aurillacois,18,12,US Carcassonnaise,0,0
20,Tarbes,18,16,Bourgoin,0,1
20,Colomiers Rugby,6,6,Albi,0,0
20,Narbonne,33,24,SU Agen,0,0
20,LOU Rugby,52,5,AS Béziers Hérault,1,0
20,US Dax,23,20,Bourg-en-Bresse,0,1
21,Stade Montois Rugby,14,21,LOU Rugby,0,0
21,AS Béziers Hérault,22,21,Colomiers Rugby,0,1
21,Albi,30,29,Stade Aurillacois,0,1
21,SU Agen,44,32,Auch,0,0
21,Bourgoin,37,3,US Dax,1,0
21,Bourg-en-Bresse,12,38,Narbonne,0,1
21,Section Paloise,37,10,Tarbes,1,0
21,US Carcassonnaise,14,34,Stade Rochelais,0,1
22,Stade Rochelais,29,24,Bourgoin,0,1
22,Albi,31,24,Bourg-en-Bresse,0,0
22,Stade Aurillacois,29,6,Auch,1,0
22,Stade Montois Rugby,18,12,US Carcassonnaise,0,0
22,LOU Rugby,27,10,Colomiers Rugby,1,0
22,Narbonne,64,20,US Dax,1,0
22,Section Paloise,41,7,AS Béziers Hérault,1,0
22,Tarbes,21,12,SU Agen,0,0
23,AS Béziers Hérault,28,8,Albi,1,0
23,Bourgoin,37,31,Stade Montois Rugby,0,0
23,Narbonne,56,10,US Carcassonnaise,1,0
23,SU Agen,27,21,Stade Aurillacois,0,0
23,Bourg-en-Bresse,9,23,Stade Rochelais,0,1
23,Colomiers Rugby,9,19,Tarbes,0,0
23,US Dax,11,10,Section Paloise,0,1
23,Auch,13,31,LOU Rugby,0,1
24,Stade Rochelais,27,7,AS Béziers Hérault,1,0
24,Auch,28,28,Colomiers Rugby,0,0
24,LOU Rugby,45,16,Stade Aurillacois,1,0
24,Section Paloise,33,20,Bourgoin,0,0
24,Albi,36,5,US Dax,1,0
24,Stade Montois Rugby,29,6,Bourg-en-Bresse,1,0
24,US Carcassonnaise,12,26,SU Agen,0,1
24,Tarbes,19,12,Narbonne,0,0
25,Bourgoin,34,33,LOU Rugby,0,1
25,AS Béziers Hérault,25,20,Stade Montois Rugby,0,1
25,Narbonne,40,19,Albi,1,0
25,Stade Aurillacois,27,18,Tarbes,0,0
25,Colomiers Rugby,14,20,Stade Rochelais,0,0
25,US Dax,20,26,US Carcassonnaise,0,0
25,SU Agen,19,6,Section Paloise,0,0
25,Bourg-en-Bresse,36,25,Auch,0,0
26,Auch,36,26,Bourgoin,1,0
26,LOU Rugby,64,3,Bourg-en-Bresse,1,0
26,Section Paloise,28,27,Albi,0,1
26,Stade Montois Rugby,26,19,Stade Aurillacois,0,0
26,Tarbes,40,13,US Dax,1,0
26,US Carcassonnaise,22,20,AS Béziers Hérault,0,1
26,Stade Rochelais,48,17,Narbonne,1,0
26,Colomiers Rugby,22,35,SU Agen,0,1
27,Albi,22,15,Auch,0,0
27,Stade Aurillacois,16,18,Section Paloise,1,0
27,Tarbes,29,28,Stade Montois Rugby,0,1
27,Bourg-en-Bresse,19,13,AS Béziers Hérault,0,0
27,US Dax,11,34,LOU Rugby,0,1
27,Bourgoin,20,29,US Carcassonnaise,0,0
27,Narbonne,22,19,Colomiers Rugby,0,1
27,SU Agen,33,18,Stade Rochelais,1,0
28,LOU Rugby,31,13,Tarbes,0,0
28,AS Béziers Hérault,17,24,Bourgoin,0,0
28,Auch,13,6,Narbonne,0,0
28,SU Agen,30,17,US Dax,0,0
28,Stade Montois Rugby,31,18,Albi,1,0
28,Colomiers Rugby,19,9,Bourg-en-Bresse,0,0
28,Stade Rochelais,29,0,Stade Aurillacois,1,0
28,US Carcassonnaise,27,33,Section Paloise,0,0
29,Section Paloise,25,15,Stade Montois Rugby,0,0
29,Albi,16,6,Bourgoin,0,0
29,Stade Aurillacois,8,18,Colomiers Rugby,0,0
29,Bourg-en-Bresse,23,32,US Carcassonnaise,0,1
29,US Dax,14,11,Auch,0,1
29,Tarbes,22,16,Stade Rochelais,0,0
29,LOU Rugby,19,16,SU Agen,0,1
29,Narbonne,52,12,AS Béziers Hérault,1,0
30,Stade Rochelais,26,27,LOU Rugby,1,0
30,AS Béziers Hérault,34,19,Stade Aurillacois,1,0
30,Bourgoin,23,16,Narbonne,0,0
30,Auch,31,28,Tarbes,0,1
30,SU Agen,27,22,Bourg-en-Bresse,0,1
30,Stade Montois Rugby,40,0,US Dax,1,0
30,US Carcassonnaise,43,31,Albi,0,0
30,Colomiers Rugby,9,15,Section Paloise,0,0
