Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,Biarritz Olympique PB,21,12,USA Perpignan,0,0
1,RC Vannes,30,22,Stade Aurillacois,0,0
1,Soyaux-Angoulême XV,23,28,Provence Rugby,1,0
1,Valence Romans,32,19,Colomiers Rugby,0,0
1,FC Grenoble Rugby,27,17,USON Nevers,0,0
1,Stade Montois Rugby,33,10,AS Béziers Hérault,1,0
1,Rouen Normandie Rugby,13,21,US Carcassonnaise,0,0
1,Oyonnax Rugby,34,16,US Montalbanaise,1,0
2,Stade Aurillacois,26,13,FC Grenoble Rugby,0,0
2,Provence Rugby,24,10,RC Vannes,0,0
2,USON Nevers,33,11,Valence Romans,1,0
2,AS Béziers Hérault,24,28,Soyaux-Angoulême XV,1,0
2,US Montalbanaise,33,30,Biarritz Olympique PB,0,1
2,US Carcassonnaise,27,30,Oyonnax Rugby,1,0
2,USA Perpignan,50,10,Stade Montois Rugby,1,0
2,Colomiers Rugby,26,12,Rouen Normandie Rugby,0,0
3,Provence Rugby,25,22,USON Nevers,0,1
3,FC Grenoble Rugby,28,28,US Montalbanaise,0,0
3,Soyaux-Angoulême XV,8,16,Oyonnax Rugby,0,0
3,Stade Aurillacois,14,19,Colomiers Rugby,1,0
3,Stade Montois Rugby,15,19,RC Vannes,1,0
3,Valence Romans,32,24,US Carcassonnaise,0,0
3,USA Perpignan,20,14,Rouen Normandie Rugby,0,0
3,Biarritz Olympique PB,24,21,AS Béziers Hérault,0,1
4,AS Béziers Hérault,22,12,FC Grenoble Rugby,0,0
4,RC Vannes,36,10,Valence Romans,1,0
4,Rouen Normandie Rugby,16,23,Biarritz Olympique PB,0,0
4,US Montalbanaise,11,20,Stade Aurillacois,0,0
4,USON Nevers,25,12,Soyaux-Angoulême XV,1,0
4,Oyonnax Rugby,29,17,Provence Rugby,0,0
4,Colomiers Rugby,22,17,Stade Montois Rugby,0,1
4,US Carcassonnaise,23,26,USA Perpignan,1,0
5,RC Vannes,29,26,AS Béziers Hérault,0,1
5,Soyaux-Angoulême XV,24,28,Rouen Normandie Rugby,1,0
5,Stade Aurillacois,23,17,USON Nevers,0,0
5,Provence Rugby,15,23,Colomiers Rugby,0,0
5,USA Perpignan,26,18,FC Grenoble Rugby,0,0
5,Biarritz Olympique PB,37,10,US Carcassonnaise,1,0
5,Valence Romans,14,10,US Montalbanaise,0,1
5,Stade Montois Rugby,23,23,Oyonnax Rugby,0,0
6,USON Nevers,22,25,USA Perpignan,1,0
6,AS Béziers Hérault,19,3,Stade Aurillacois,0,0
6,Colomiers Rugby,53,11,Soyaux-Angoulême XV,1,0
6,Rouen Normandie Rugby,19,23,RC Vannes,1,0
6,FC Grenoble Rugby,28,25,Valence Romans,0,1
6,US Montalbanaise,30,15,Provence Rugby,0,0
6,Oyonnax Rugby,15,19,Biarritz Olympique PB,1,0
6,US Carcassonnaise,17,16,Stade Montois Rugby,0,1
7,Stade Montois Rugby,16,26,USON Nevers,0,0
7,Oyonnax Rugby,46,17,Stade Aurillacois,1,0
7,Soyaux-Angoulême XV,8,21,US Carcassonnaise,0,0
7,USA Perpignan,27,6,US Montalbanaise,1,0
7,Valence Romans,25,25,AS Béziers Hérault,0,0
7,RC Vannes,19,14,FC Grenoble Rugby,0,1
7,Provence Rugby,22,22,Rouen Normandie Rugby,0,0
7,Biarritz Olympique PB,33,16,Colomiers Rugby,1,0
8,AS Béziers Hérault,23,29,Oyonnax Rugby,0,0
8,Rouen Normandie Rugby,28,14,Valence Romans,0,0
8,US Montalbanaise,27,17,Soyaux-Angoulême XV,0,0
8,US Carcassonnaise,30,31,Provence Rugby,1,0
8,USON Nevers,22,35,RC Vannes,0,0
8,FC Grenoble Rugby,24,17,Stade Montois Rugby,0,0
8,Stade Aurillacois,10,23,Biarritz Olympique PB,0,0
8,Colomiers Rugby,23,18,USA Perpignan,0,1
9,Oyonnax Rugby,22,15,Rouen Normandie Rugby,0,0
9,US Montalbanaise,25,21,USON Nevers,0,1
9,Provence Rugby,19,16,Stade Aurillacois,0,1
9,Biarritz Olympique PB,14,16,RC Vannes,1,0
9,US Carcassonnaise,24,22,Colomiers Rugby,0,1
9,USA Perpignan,10,16,AS Béziers Hérault,0,0
9,Soyaux-Angoulême XV,9,3,FC Grenoble Rugby,0,0
9,Stade Montois Rugby,23,23,Valence Romans,0,0
10,AS Béziers Hérault,36,9,US Montalbanaise,1,0
10,RC Vannes,19,21,USA Perpignan,1,0
10,FC Grenoble Rugby,21,15,Rouen Normandie Rugby,0,0
10,Stade Aurillacois,32,11,Stade Montois Rugby,0,0
10,USON Nevers,34,22,US Carcassonnaise,1,0
10,Valence Romans,13,14,Provence Rugby,1,0
10,Biarritz Olympique PB,15,6,Soyaux-Angoulême XV,0,0
10,Colomiers Rugby,16,16,Oyonnax Rugby,0,0
11,Colomiers Rugby,19,16,USON Nevers,0,1
11,Provence Rugby,16,16,Biarritz Olympique PB,0,0
11,Oyonnax Rugby,20,30,RC Vannes,0,0
11,Rouen Normandie Rugby,15,10,AS Béziers Hérault,0,1
