Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,USA Perpignan,19,16,Stade Montois Rugby,0,1
1,Bourgoin,19,18,Colomiers Rugby,0,1
1,Oyonnax Rugby,36,10,Soyaux-Angoulême XV,1,0
1,RC Vannes,23,20,US Montalbanaise,0,1
1,Albi,23,23,US Carcassonnaise,0,0
1,US Dax,20,19,Stade Aurillacois,0,1
1,Biarritz Olympique PB,25,6,Narbonne,0,0
1,AS Béziers Hérault,34,11,SU Agen,1,0
2,Stade Aurillacois,42,13,USA Perpignan,1,0
2,AS Béziers Hérault,34,28,Oyonnax Rugby,0,0
2,Narbonne,29,24,Bourgoin,0,1
2,Soyaux-Angoulême XV,23,22,RC Vannes,0,1
2,US Montalbanaise,22,11,Biarritz Olympique PB,0,0
2,Colomiers Rugby,24,3,US Carcassonnaise,0,0
2,Stade Montois Rugby,33,29,US Dax,0,1
2,SU Agen,36,20,Albi,0,0
3,Oyonnax Rugby,19,21,Colomiers Rugby,1,0
3,Biarritz Olympique PB,20,21,Soyaux-Angoulême XV,1,0
3,Narbonne,28,34,Albi,0,0
3,RC Vannes,19,19,SU Agen,0,0
3,Stade Montois Rugby,12,6,Bourgoin,0,0
3,US Carcassonnaise,17,9,AS Béziers Hérault,0,0
3,USA Perpignan,14,16,US Dax,1,0
3,Stade Aurillacois,20,12,US Montalbanaise,0,0
4,SU Agen,23,22,Biarritz Olympique PB,0,1
4,Bourgoin,15,15,RC Vannes,0,0
4,Soyaux-Angoulême XV,21,6,AS Béziers Hérault,0,0
4,US Montalbanaise,22,18,Stade Montois Rugby,0,1
4,Colomiers Rugby,18,6,Narbonne,0,0
4,US Dax,28,25,Oyonnax Rugby,0,1
4,Albi,23,29,Stade Aurillacois,0,0
4,US Carcassonnaise,38,20,USA Perpignan,0,0
5,Stade Montois Rugby,21,23,SU Agen,1,0
5,AS Béziers Hérault,36,15,Albi,1,0
5,Bourgoin,35,13,US Dax,1,0
5,Oyonnax Rugby,35,20,US Carcassonnaise,1,0
5,Soyaux-Angoulême XV,25,15,US Montalbanaise,0,0
5,Stade Aurillacois,27,7,Narbonne,1,0
5,Biarritz Olympique PB,34,26,Colomiers Rugby,0,0
5,RC Vannes,19,13,USA Perpignan,0,0
6,USA Perpignan,23,18,Oyonnax Rugby,1,1
6,Albi,27,20,Biarritz Olympique PB,0,0
6,US Montalbanaise,51,7,Bourgoin,1,0
6,US Carcassonnaise,10,6,Soyaux-Angoulême XV,0,1
6,Colomiers Rugby,33,28,Stade Montois Rugby,0,1
6,US Dax,33,27,RC Vannes,0,0
6,Narbonne,23,22,AS Béziers Hérault,0,1
6,SU Agen,40,27,Stade Aurillacois,1,0
7,Biarritz Olympique PB,36,18,US Carcassonnaise,1,0
7,Bourgoin,14,21,SU Agen,0,0
7,RC Vannes,21,27,Narbonne,0,0
7,Soyaux-Angoulême XV,29,14,US Dax,0,0
7,Stade Montois Rugby,32,12,Albi,1,0
7,Oyonnax Rugby,36,10,US Montalbanaise,1,0
7,AS Béziers Hérault,13,24,USA Perpignan,0,0
7,Stade Aurillacois,19,13,Colomiers Rugby,0,0
8,Albi,16,18,Oyonnax Rugby,1,0
8,Narbonne,35,14,Stade Montois Rugby,0,0
8,SU Agen,40,23,Soyaux-Angoulême XV,0,0
8,US Montalbanaise,38,23,AS Béziers Hérault,0,0
8,US Carcassonnaise,47,13,Stade Aurillacois,1,0
8,Colomiers Rugby,45,5,RC Vannes,1,0
8,USA Perpignan,45,15,Bourgoin,1,0
8,US Dax,41,16,Biarritz Olympique PB,1,0
9,Oyonnax Rugby,21,16,SU Agen,0,1
9,Bourgoin,15,22,Biarritz Olympique PB,0,0
9,RC Vannes,34,6,Albi,1,0
9,Soyaux-Angoulême XV,20,20,USA Perpignan,0,0
9,Stade Montois Rugby,28,20,US Carcassonnaise,0,0
9,US Montalbanaise,21,3,Narbonne,0,0
9,Stade Aurillacois,32,9,AS Béziers Hérault,1,0
9,Colomiers Rugby,46,22,US Dax,1,0
10,Oyonnax Rugby,24,19,Stade Aurillacois,0,1
10,Albi,23,16,Soyaux-Angoulême XV,0,0
10,US Carcassonnaise,19,10,Bourgoin,0,0
10,US Dax,21,24,US Montalbanaise,1,0
10,AS Béziers Hérault,9,17,Stade Montois Rugby,0,0
10,Narbonne,43,33,SU Agen,0,0
10,Biarritz Olympique PB,22,23,RC Vannes,1,0
10,USA Perpignan,22,26,Colomiers Rugby,1,0
11,SU Agen,23,6,USA Perpignan,0,0
11,Bourgoin,23,26,Oyonnax Rugby,1,0
11,Narbonne,31,16,US Dax,1,0
11,RC Vannes,22,25,US Carcassonnaise,1,0
11,Stade Montois Rugby,16,10,Soyaux-Angoulême XV,0,0
11,US Montalbanaise,23,6,Albi,0,0
11,Colomiers Rugby,15,12,AS Béziers Hérault,0,1
11,Stade Aurillacois,31,20,Biarritz Olympique PB,0,0
12,US Dax,30,32,SU Agen,1,0
12,AS Béziers Hérault,34,17,Bourgoin,1,0
12,Biarritz Olympique PB,26,22,Stade Montois Rugby,0,1
12,Soyaux-Angoulême XV,35,6,Stade Aurillacois,1,0
12,Albi,29,17,Colomiers Rugby,0,0
12,US Carcassonnaise,17,28,US Montalbanaise,0,0
12,USA Perpignan,66,13,Narbonne,1,0
12,Oyonnax Rugby,52,21,RC Vannes,1,0
13,Biarritz Olympique PB,22,19,USA Perpignan,0,1
13,Bourgoin,15,20,Soyaux-Angoulême XV,1,0
13,RC Vannes,14,13,AS Béziers Hérault,0,1
13,Stade Aurillacois,25,21,Stade Montois Rugby,0,1
13,US Montalbanaise,26,11,Colomiers Rugby,0,0
13,US Dax,19,23,Albi,1,0
13,SU Agen,33,7,US Carcassonnaise,1,0
13,Narbonne,21,16,Oyonnax Rugby,0,1
14,Colomiers Rugby,33,27,SU Agen,0,0
14,Soyaux-Angoulême XV,23,10,Narbonne,0,0
14,Albi,35,24,Bourgoin,0,0
14,Stade Aurillacois,24,22,RC Vannes,0,1
14,Stade Montois Rugby,22,21,Oyonnax Rugby,0,1
14,US Carcassonnaise,36,0,US Dax,1,0
