Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,Auch,31,22,Colomiers Rugby,0,0
1,FC Grenoble Rugby,39,10,Lannemezan,1,0
1,LOU Rugby,17,13,Union Bordeaux-Bègles,0,1
1,Narbonne,28,12,Section Paloise,1,0
1,Stade Aurillacois,25,16,Oyonnax Rugby,0,0
1,Stade Montois Rugby,22,21,Stade Rochelais,0,1
1,Tarbes,22,15,Provence Rugby,0,0
1,US Dax,16,13,SU Agen,0,1
2,Stade Montois Rugby,9,12,FC Grenoble Rugby,1,0
2,Colomiers Rugby,19,13,US Dax,0,0
2,Oyonnax Rugby,28,12,Tarbes,1,0
2,Union Bordeaux-Bègles,23,21,Auch,0,1
2,SU Agen,26,21,Stade Rochelais,0,1
2,Stade Aurillacois,12,16,Section Paloise,1,0
2,Lannemezan,13,16,Narbonne,1,0
2,LOU Rugby,36,14,Provence Rugby,0,0
3,Auch,28,3,Lannemezan,1,0
3,FC Grenoble Rugby,22,12,Colomiers Rugby,0,0
3,Narbonne,33,12,Union Bordeaux-Bègles,1,0
3,Section Paloise,9,13,LOU Rugby,1,0
3,Tarbes,36,12,Stade Montois Rugby,1,0
3,Provence Rugby,16,22,Stade Rochelais,0,0
3,US Dax,27,6,Oyonnax Rugby,1,0
3,SU Agen,21,6,Stade Aurillacois,1,0
4,FC Grenoble Rugby,16,15,Section Paloise,0,1
4,Stade Rochelais,16,6,Tarbes,0,0
4,Oyonnax Rugby,13,6,Narbonne,0,0
4,Union Bordeaux-Bègles,22,9,Stade Aurillacois,0,0
4,Stade Montois Rugby,24,18,Provence Rugby,0,0
4,Colomiers Rugby,12,12,LOU Rugby,0,0
4,Lannemezan,11,23,US Dax,0,0
4,Auch,3,19,SU Agen,0,0
5,Stade Rochelais,22,6,Lannemezan,0,0
5,LOU Rugby,18,22,Oyonnax Rugby,1,0
5,Provence Rugby,24,19,Narbonne,0,1
5,Section Paloise,16,14,US Dax,0,1
