Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,Périgueux,9,11,Auch,1,0
1,Provence Rugby,27,9,Section Paloise,0,0
1,Narbonne,32,25,Albi,0,0
1,Stade Aurillacois,6,6,FC Grenoble Rugby,0,0
1,Stade Montois Rugby,19,16,Tarbes,0,1
1,Oyonnax Rugby,25,18,Stade Rochelais,0,0
1,US Carcassonnaise,18,25,Bourgoin,0,0
1,US Dax,23,11,AS Béziers Hérault,0,0
2,Stade Rochelais,23,17,Périgueux,0,0
2,Auch,6,24,US Dax,0,0
2,FC Grenoble Rugby,17,12,US Carcassonnaise,0,1
2,Provence Rugby,24,16,Stade Montois Rugby,0,0
2,Narbonne,29,12,Stade Aurillacois,0,0
2,Tarbes,17,6,Oyonnax Rugby,0,0
2,AS Béziers Hérault,18,15,Albi,0,1
2,Bourgoin,21,26,Section Paloise,1,0
3,Périgueux,18,25,Bourgoin,0,0
3,Oyonnax Rugby,22,16,Narbonne,0,0
3,Stade Aurillacois,37,18,Tarbes,0,0
3,US Carcassonnaise,22,18,Auch,0,1
3,US Dax,25,18,Provence Rugby,0,0
3,FC Grenoble Rugby,22,16,Stade Montois Rugby,0,0
3,Albi,31,15,Stade Rochelais,1,0
3,Section Paloise,25,16,AS Béziers Hérault,0,0
4,Périgueux,21,9,Narbonne,0,0
4,Bourgoin,29,15,Stade Aurillacois,0,0
4,Oyonnax Rugby,15,13,Auch,0,1
4,Provence Rugby,20,13,AS Béziers Hérault,0,0
4,Tarbes,16,25,US Carcassonnaise,0,0
4,Section Paloise,9,9,US Dax,0,0
4,Stade Montois Rugby,22,13,Stade Rochelais,0,0
4,Albi,19,18,FC Grenoble Rugby,0,1
5,Stade Rochelais,22,9,US Carcassonnaise,0,0
5,Auch,15,9,Albi,0,0
5,FC Grenoble Rugby,34,6,Périgueux,1,0
5,Narbonne,18,22,US Dax,1,0
5,Stade Aurillacois,19,28,Provence Rugby,0,0
5,Tarbes,18,17,Section Paloise,0,1
5,Stade Montois Rugby,27,22,Bourgoin,0,1
5,AS Béziers Hérault,13,35,Oyonnax Rugby,0,1
