Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
15,US Carcassonnaise,32,9,Colomiers Rugby,1,0
15,FC Grenoble Rugby,21,13,Section Paloise,0,0
16,Oyonnax Rugby,17,13,Section Paloise,0,1
16,Provence Rugby,16,34,LOU Rugby,0,1
16,Tarbes,25,8,Narbonne,0,0
16,US Carcassonnaise,10,16,Auch,0,0
16,Colomiers Rugby,15,19,Union Bordeaux-Bègles,1,0
16,Saint-Etienne,13,16,Albi,1,0
16,US Dax,24,15,Stade Aurillacois,0,0
16,Stade Montois Rugby,30,19,FC Grenoble Rugby,0,0
17,LOU Rugby,15,12,US Carcassonnaise,0,1
17,Oyonnax Rugby,30,10,Saint-Etienne,0,0
17,Narbonne,50,22,Provence Rugby,1,0
17,Albi,21,24,US Dax,1,1
17,Auch,27,18,Section Paloise,1,0
17,FC Grenoble Rugby,37,10,Tarbes,1,0
17,Stade Aurillacois,25,16,Union Bordeaux-Bègles,0,0
17,Stade Montois Rugby,19,6,Colomiers Rugby,0,0
18,Auch,24,15,Stade Montois Rugby,0,0
18,Provence Rugby,31,12,Stade Aurillacois,0,0
18,Section Paloise,60,12,Colomiers Rugby,1,0
18,Albi,45,18,Tarbes,1,0
18,US Carcassonnaise,18,22,FC Grenoble Rugby,1,1
18,US Dax,29,36,LOU Rugby,0,0
18,Union Bordeaux-Bègles,35,7,Oyonnax Rugby,1,0
18,Saint-Etienne,12,14,Narbonne,1,0
19,LOU Rugby,25,18,Stade Montois Rugby,1,0
19,Provence Rugby,9,9,Auch,0,0
19,Narbonne,6,3,Albi,0,1
19,Section Paloise,28,13,Stade Aurillacois,0,0
19,Tarbes,32,24,Saint-Etienne,0,0
19,US Carcassonnaise,12,12,Oyonnax Rugby,0,0
19,Union Bordeaux-Bègles,25,22,FC Grenoble Rugby,0,1
19,Colomiers Rugby,12,9,US Dax,0,1
20,Saint-Etienne,18,24,Colomiers Rugby,0,0
20,Stade Montois Rugby,34,6,Narbonne,1,0
20,Auch,15,12,Tarbes,0,1
20,FC Grenoble Rugby,67,18,Provence Rugby,1,0
20,Oyonnax Rugby,18,12,US Dax,0,0
20,Albi,26,29,Section Paloise,1,0
20,Stade Aurillacois,41,21,US Carcassonnaise,1,0
20,LOU Rugby,21,13,Union Bordeaux-Bègles,0,0
21,Narbonne,22,24,Section Paloise,1,0
21,Union Bordeaux-Bègles,27,3,Saint-Etienne,1,0
21,Stade Aurillacois,30,25,Oyonnax Rugby,0,1
21,Tarbes,15,10,US Carcassonnaise,0,1
21,Colomiers Rugby,12,18,Provence Rugby,0,0
21,US Dax,18,13,Auch,0,1
21,FC Grenoble Rugby,12,12,LOU Rugby,0,0
21,Stade Montois Rugby,22,10,Albi,0,0
22,LOU Rugby,33,8,Stade Aurillacois,0,0
22,Section Paloise,24,27,Tarbes,1,0
22,US Carcassonnaise,39,5,Narbonne,1,0
22,Albi,27,8,Union Bordeaux-Bègles,0,0
22,Saint-Etienne,10,31,Stade Montois Rugby,0,1
22,Oyonnax Rugby,15,12,Auch,0,1
22,Provence Rugby,28,13,US Dax,0,0
22,Colomiers Rugby,22,22,FC Grenoble Rugby,0,0
23,Auch,25,18,LOU Rugby,0,0
23,Narbonne,25,24,Oyonnax Rugby,0,1
23,Union Bordeaux-Bègles,18,23,Provence Rugby,1,0
23,Section Paloise,48,25,Saint-Etienne,1,0
23,Stade Aurillacois,37,24,Colomiers Rugby,0,0
23,Tarbes,22,18,Stade Montois Rugby,0,1
23,US Dax,21,21,US Carcassonnaise,0,0
23,Albi,16,16,FC Grenoble Rugby,0,0
24,Auch,18,6,Stade Aurillacois,0,0
24,FC Grenoble Rugby,34,15,Narbonne,0,0
24,Oyonnax Rugby,14,15,Albi,1,0
24,Provence Rugby,23,0,Tarbes,1,0
24,Union Bordeaux-Bègles,18,14,Section Paloise,0,1
24,Saint-Etienne,10,16,US Dax,0,0
24,Stade Montois Rugby,17,13,US Carcassonnaise,0,1
24,Colomiers Rugby,22,19,LOU Rugby,0,1
25,LOU Rugby,45,12,Narbonne,1,0
25,Provence Rugby,30,15,Stade Montois Rugby,0,0
25,Albi,34,15,Colomiers Rugby,1,0
25,Stade Aurillacois,21,18,Saint-Etienne,0,1
25,Tarbes,15,19,Oyonnax Rugby,1,0
25,US Carcassonnaise,16,22,Section Paloise,0,0
25,US Dax,24,26,Union Bordeaux-Bègles,1,0
25,FC Grenoble Rugby,37,6,Auch,1,0
26,Auch,37,7,Colomiers Rugby,1,0
26,Oyonnax Rugby,19,26,FC Grenoble Rugby,0,0
26,Narbonne,23,26,Stade Aurillacois,1,0
26,Union Bordeaux-Bègles,40,23,US Carcassonnaise,0,0
26,Section Paloise,16,22,Stade Montois Rugby,0,0
26,US Dax,26,7,Tarbes,0,0
26,Saint-Etienne,22,29,Provence Rugby,0,0
26,LOU Rugby,25,12,Albi,0,0
27,Narbonne,34,28,Auch,0,0
27,Section Paloise,40,20,US Dax,1,0
27,Tarbes,8,15,LOU Rugby,0,0
27,US Carcassonnaise,26,12,Provence Rugby,0,0
27,Colomiers Rugby,20,13,Oyonnax Rugby,0,0
27,Stade Aurillacois,6,6,Albi,0,0
27,Saint-Etienne,15,42,FC Grenoble Rugby,0,1
27,Stade Montois Rugby,23,13,Union Bordeaux-Bègles,0,0
28,FC Grenoble Rugby,13,10,Stade Aurillacois,0,1
28,Union Bordeaux-Bègles,41,17,Narbonne,0,0
28,Albi,21,22,Auch,1,0
28,Tarbes,20,20,Colomiers Rugby,0,0
28,US Dax,12,19,Stade Montois Rugby,0,0
28,Saint-Etienne,7,23,US Carcassonnaise,0,0
28,Provence Rugby,26,19,Section Paloise,0,0
28,LOU Rugby,18,19,Oyonnax Rugby,1,0
