Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,AS Béziers Hérault,29,27,RC Vannes,0,1
1,Narbonne,13,18,US Montalbanaise,1,0
1,Soyaux-Angoulême XV,27,5,USON Nevers,0,0
1,Stade Aurillacois,23,30,Colomiers Rugby,0,0
1,US Carcassonnaise,10,49,RC Massy Essonne,0,1
1,Biarritz Olympique PB,24,15,Stade Montois Rugby,0,0
1,USA Perpignan,66,6,Aviron Bayonnais,1,0
1,US Dax,13,28,FC Grenoble Rugby,0,0
2,US Carcassonnaise,16,3,Biarritz Olympique PB,0,0
2,FC Grenoble Rugby,26,22,RC Massy Essonne,0,1
2,Soyaux-Angoulême XV,10,13,US Dax,1,0
2,Stade Montois Rugby,50,8,Narbonne,1,0
2,US Montalbanaise,12,12,Stade Aurillacois,0,0
2,USON Nevers,24,21,RC Vannes,0,1
2,Aviron Bayonnais,27,23,AS Béziers Hérault,0,1
2,Colomiers Rugby,27,25,USA Perpignan,0,1
3,US Dax,35,16,Narbonne,1,0
3,Biarritz Olympique PB,18,9,AS Béziers Hérault,0,0
3,FC Grenoble Rugby,26,21,Stade Montois Rugby,0,1
3,RC Massy Essonne,10,11,US Montalbanaise,1,0
3,RC Vannes,28,14,Soyaux-Angoulême XV,1,0
3,Stade Aurillacois,41,10,US Carcassonnaise,1,0
3,USA Perpignan,35,19,USON Nevers,1,0
3,Colomiers Rugby,36,13,Aviron Bayonnais,1,0
4,US Montalbanaise,25,23,FC Grenoble Rugby,0,1
4,AS Béziers Hérault,31,27,Stade Aurillacois,0,1
4,Narbonne,23,23,Colomiers Rugby,0,0
4,Soyaux-Angoulême XV,26,22,Biarritz Olympique PB,0,1
4,Stade Montois Rugby,38,11,RC Vannes,1,0
4,USON Nevers,32,3,RC Massy Essonne,1,0
4,Aviron Bayonnais,51,15,US Dax,1,0
4,US Carcassonnaise,19,29,USA Perpignan,0,0
5,RC Vannes,38,22,Aviron Bayonnais,0,0
5,Biarritz Olympique PB,32,20,USON Nevers,0,0
5,Colomiers Rugby,26,6,Soyaux-Angoulême XV,1,0
5,RC Massy Essonne,21,19,US Dax,0,1
5,Stade Aurillacois,15,6,Narbonne,0,0
5,Stade Montois Rugby,39,23,US Carcassonnaise,1,0
5,FC Grenoble Rugby,33,23,AS Béziers Hérault,0,0
5,USA Perpignan,30,6,US Montalbanaise,1,0
6,Aviron Bayonnais,21,26,FC Grenoble Rugby,1,0
6,RC Massy Essonne,18,11,Colomiers Rugby,0,0
6,Narbonne,23,19,US Carcassonnaise,0,1
6,Soyaux-Angoulême XV,25,10,Stade Aurillacois,0,0
6,US Dax,24,11,USON Nevers,0,0
