Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,LOU Rugby,30,12,Tarbes,0,0
1,Narbonne,13,17,Section Paloise,1,0
1,RC Massy Essonne,21,18,Provence Rugby,0,1
1,Albi,22,20,Colomiers Rugby,0,1
1,US Dax,16,31,Stade Aurillacois,0,0
1,Stade Rochelais,12,22,Oyonnax Rugby,0,0
1,Auch,24,23,US Carcassonnaise,0,1
1,AS Béziers Hérault,20,27,CA Brive,0,0
2,LOU Rugby,63,15,AS Béziers Hérault,1,0
2,Auch,30,16,RC Massy Essonne,0,0
2,Oyonnax Rugby,40,6,Albi,1,0
2,Stade Aurillacois,42,19,Provence Rugby,0,0
2,Tarbes,24,14,Section Paloise,0,0
2,US Carcassonnaise,34,14,CA Brive,0,0
2,Colomiers Rugby,29,25,Narbonne,0,1
2,Stade Rochelais,32,6,US Dax,1,0
3,AS Béziers Hérault,22,9,US Dax,0,0
3,Provence Rugby,33,9,Auch,1,0
3,Narbonne,18,13,Stade Rochelais,0,1
3,Tarbes,25,25,Oyonnax Rugby,0,0
3,US Carcassonnaise,44,23,RC Massy Essonne,1,0
3,Colomiers Rugby,22,29,Stade Aurillacois,0,0
3,Section Paloise,22,19,Albi,0,1
3,CA Brive,19,19,LOU Rugby,0,0
4,Section Paloise,22,18,US Carcassonnaise,0,1
4,Stade Rochelais,24,10,Auch,0,0
4,Provence Rugby,16,23,Oyonnax Rugby,0,0
4,RC Massy Essonne,31,16,AS Béziers Hérault,0,0
4,Stade Aurillacois,24,39,Tarbes,0,0
4,US Dax,24,25,Colomiers Rugby,1,0
4,CA Brive,24,16,Narbonne,0,0
4,Albi,35,24,LOU Rugby,0,0
5,AS Béziers Hérault,39,28,Provence Rugby,0,0
5,Auch,33,26,Section Paloise,0,0
5,Oyonnax Rugby,27,6,Colomiers Rugby,1,0
5,Narbonne,22,19,US Dax,0,1
5,RC Massy Essonne,29,34,Albi,1,0
5,Tarbes,37,30,US Carcassonnaise,1,0
5,LOU Rugby,22,15,Stade Rochelais,0,0
5,Stade Aurillacois,27,20,CA Brive,0,0
6,US Carcassonnaise,25,21,Oyonnax Rugby,0,1
6,AS Béziers Hérault,16,19,Section Paloise,1,0
6,CA Brive,16,11,Auch,0,1
6,Provence Rugby,16,20,Tarbes,1,0
6,Albi,25,19,Stade Aurillacois,0,0
6,US Dax,44,10,RC Massy Essonne,1,0
6,Colomiers Rugby,25,30,Stade Rochelais,1,0
6,LOU Rugby,36,16,Narbonne,1,0
7,CA Brive,30,3,RC Massy Essonne,1,0
7,Auch,40,21,AS Béziers Hérault,1,0
7,Provence Rugby,12,25,LOU Rugby,0,1
7,Section Paloise,30,3,Colomiers Rugby,1,0
7,Albi,28,22,Tarbes,0,0
7,Stade Aurillacois,32,15,Narbonne,0,0
7,Stade Rochelais,24,22,US Carcassonnaise,0,1
7,Oyonnax Rugby,46,26,US Dax,1,0
8,Stade Aurillacois,17,10,Stade Rochelais,0,0
8,AS Béziers Hérault,25,13,Albi,0,0
8,Narbonne,28,13,US Carcassonnaise,0,0
8,RC Massy Essonne,16,29,Oyonnax Rugby,0,1
8,Tarbes,15,26,CA Brive,0,0
8,Colomiers Rugby,28,9,Provence Rugby,0,0
8,US Dax,15,9,Section Paloise,0,0
8,Auch,13,10,LOU Rugby,0,1
9,CA Brive,22,18,Section Paloise,0,1
9,Stade Rochelais,48,11,AS Béziers Hérault,1,0
9,LOU Rugby,24,6,Colomiers Rugby,0,0
9,Narbonne,22,24,Provence Rugby,1,0
9,RC Massy Essonne,26,28,Tarbes,1,0
9,Albi,13,12,Auch,0,1
9,US Carcassonnaise,37,30,US Dax,0,0
9,Oyonnax Rugby,36,20,Stade Aurillacois,0,0
10,Provence Rugby,9,28,Stade Rochelais,0,0
10,Section Paloise,37,8,RC Massy Essonne,1,0
10,Tarbes,53,13,AS Béziers Hérault,1,0
10,US Carcassonnaise,22,21,Albi,0,1
10,US Dax,21,20,CA Brive,0,1
10,Oyonnax Rugby,40,13,Narbonne,1,0
10,Colomiers Rugby,9,3,Auch,0,0
10,Stade Aurillacois,19,16,LOU Rugby,0,1
11,AS Béziers Hérault,10,14,US Carcassonnaise,1,0
11,CA Brive,33,12,Colomiers Rugby,1,0
11,Auch,16,17,Tarbes,1,0
11,Provence Rugby,28,19,US Dax,0,0
11,Narbonne,18,15,Albi,0,1
11,RC Massy Essonne,15,19,Stade Rochelais,1,0
11,LOU Rugby,31,33,Oyonnax Rugby,1,0
11,Section Paloise,22,11,Stade Aurillacois,0,0
12,Stade Rochelais,18,16,Section Paloise,0,1
12,Auch,26,26,Narbonne,0,0
