Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,AS Béziers Hérault,25,21,Soyaux-Angoulême XV,0,1
1,Bourg-en-Bresse,19,19,RC Vannes,0,0
1,Stade Montois Rugby,33,10,RC Massy Essonne,1,0
1,US Montalbanaise,16,12,US Carcassonnaise,0,1
1,Biarritz Olympique PB,19,16,USON Nevers,0,1
1,Aviron Bayonnais,30,17,CA Brive,0,0
1,Colomiers Rugby,28,26,Provence Rugby,0,1
1,Stade Aurillacois,20,19,Oyonnax Rugby,0,1
2,US Montalbanaise,16,15,Biarritz Olympique PB,0,1
2,AS Béziers Hérault,37,26,RC Massy Essonne,0,0
2,CA Brive,27,17,Colomiers Rugby,0,0
2,Provence Rugby,48,18,Stade Aurillacois,1,0
2,US Carcassonnaise,18,15,Soyaux-Angoulême XV,0,1
2,USON Nevers,53,13,Bourg-en-Bresse,1,0
2,Oyonnax Rugby,30,29,RC Vannes,0,1
2,Aviron Bayonnais,28,28,Stade Montois Rugby,0,0
3,Biarritz Olympique PB,33,33,CA Brive,0,0
3,Bourg-en-Bresse,18,16,Provence Rugby,0,1
3,RC Massy Essonne,12,21,Aviron Bayonnais,0,0
3,RC Vannes,24,13,USON Nevers,0,0
3,Soyaux-Angoulême XV,29,23,US Montalbanaise,0,0
3,Stade Aurillacois,19,16,US Carcassonnaise,0,1
3,Colomiers Rugby,18,19,Oyonnax Rugby,1,0
3,Stade Montois Rugby,35,14,AS Béziers Hérault,1,0
4,Oyonnax Rugby,18,16,Aviron Bayonnais,0,1
4,Biarritz Olympique PB,46,9,Bourg-en-Bresse,1,0
4,Provence Rugby,38,23,RC Vannes,1,0
4,Soyaux-Angoulême XV,23,13,Stade Aurillacois,0,0
4,US Carcassonnaise,25,20,Colomiers Rugby,0,1
4,USON Nevers,17,6,RC Massy Essonne,0,0
4,US Montalbanaise,20,25,Stade Montois Rugby,1,0
4,CA Brive,27,6,AS Béziers Hérault,0,0
5,RC Vannes,9,11,CA Brive,1,0
5,Aviron Bayonnais,34,19,Provence Rugby,1,0
5,Bourg-en-Bresse,21,32,US Carcassonnaise,0,0
5,Colomiers Rugby,27,10,Biarritz Olympique PB,0,0
5,RC Massy Essonne,19,20,Soyaux-Angoulême XV,1,0
5,Stade Aurillacois,12,16,USON Nevers,1,0
5,AS Béziers Hérault,27,5,US Montalbanaise,1,0
5,Stade Montois Rugby,37,21,Oyonnax Rugby,0,0
6,Biarritz Olympique PB,22,6,Aviron Bayonnais,0,0
6,CA Brive,36,14,Stade Aurillacois,1,0
6,Oyonnax Rugby,49,16,Bourg-en-Bresse,1,0
6,RC Massy Essonne,6,21,RC Vannes,0,0
6,Soyaux-Angoulême XV,20,16,Stade Montois Rugby,0,1
6,USON Nevers,39,17,Provence Rugby,1,0
6,US Carcassonnaise,47,13,AS Béziers Hérault,1,0
6,US Montalbanaise,29,20,Colomiers Rugby,0,0
7,AS Béziers Hérault,24,19,Oyonnax Rugby,0,1
7,Aviron Bayonnais,26,21,USON Nevers,0,1
7,Bourg-en-Bresse,22,18,RC Massy Essonne,0,1
7,Provence Rugby,28,25,US Carcassonnaise,0,1
7,RC Vannes,16,0,Colomiers Rugby,0,0
7,Stade Aurillacois,28,15,US Montalbanaise,0,0
7,Stade Montois Rugby,20,13,Biarritz Olympique PB,0,0
7,CA Brive,31,18,Soyaux-Angoulême XV,0,0
8,USON Nevers,24,17,Stade Montois Rugby,0,0
8,Colomiers Rugby,30,24,AS Béziers Hérault,0,0
8,RC Massy Essonne,30,19,CA Brive,0,0
8,Soyaux-Angoulême XV,42,12,RC Vannes,1,0
8,US Carcassonnaise,22,10,Aviron Bayonnais,0,0
8,US Montalbanaise,37,19,Bourg-en-Bresse,1,0
8,Biarritz Olympique PB,28,24,Stade Aurillacois,0,1
8,Oyonnax Rugby,46,23,Provence Rugby,1,0
9,CA Brive,15,3,US Montalbanaise,0,0
9,AS Béziers Hérault,34,7,Stade Aurillacois,1,0
9,Bourg-en-Bresse,18,15,Colomiers Rugby,0,1
9,Provence Rugby,20,9,Stade Montois Rugby,0,0
9,RC Massy Essonne,29,20,Biarritz Olympique PB,0,0
9,RC Vannes,39,22,US Carcassonnaise,0,0
